Year,State,Source,Vtype,Fuel,Occ,Distance,CO2,CO2_Equiv,CO,ElementC_PM25,NO2,NO,N2O,OrganicC_PM25,NOx,Total_PM10,Total_PM25,Brake_PM10,Tire_PM10,Brake_PM25,Tire_PM25,Sulfate_PM25,SO2,TotalEnergy,VOC
2020,36,31,Private vehicle,5,2,8244232,423.5526569,426.2973444,2.935996464,0.002244236,0.011649963,0.094382836,0.006190874,0.001703494,0.106887943,0.005264772,0.004657317,0.023744358,0.008476836,0.002968014,0.001271556,0.000104194,0.003261432,5954.348215,0.177497431
2020,36,32,Truck,1,2,408432256,461.6285542,465.4692237,4.839194992,0.002688642,0.035536836,0.305797199,0.010720098,0.003318394,0.344086751,0.008412443,0.007441807,0.024848177,0.008966358,0.003106023,0.001344948,0.000199282,0.003066629,6423.403281,0.271201656
2020,36,32,Truck,2,2,22443642,645.6025588,647.2685244,2.069470543,0.065582493,0.338402787,1.75349491,0.003063273,0.017056367,2.108767909,0.099560758,0.091595606,0.027753784,0.011413388,0.003469223,0.001712022,0.002530917,0.002203965,8764.495029,0.350825191
2020,36,32,Truck,5,2,1411661,417.652408,420.1983337,2.65182009,0.002033066,0.008288109,0.073418477,0.005785383,0.001495402,0.082365384,0.004699429,0.004157514,0.024381916,0.008545253,0.003047474,0.001281469,9.99E-05,0.00321607,5871.401885,0.152030835
2020,36,52,Truck,1,2,52227188,1091.462313,1105.262177,11.53970365,0.005925056,0.048675529,0.690401865,0.04131712,0.012507757,0.7450377,0.026669424,0.023592291,0.046116249,0.01273804,0.005764526,0.001910691,0.000434754,0.007250649,15187.32199,0.93776973
2020,36,52,Truck,2,2,189181136,1070.05359,1072.946451,1.438372925,0.042007434,0.594305809,1.875841828,0.004952566,0.021951216,2.490068312,0.083403305,0.0767308,0.077621841,0.016097948,0.009702727,0.00241468,0.004519082,0.003604154,14526.70609,0.267139764
2020,36,52,Truck,3,2,2158419,1455.824931,1902.87511,21.99002511,0.000723678,0.120474755,0.820194781,0.287774061,0.002472643,0.948256108,0.00746426,0.006602981,0.134522074,0.016666829,0.016815085,0.002499978,6.72E-05,0.007707957,24661.06185,0.586526064
2020,36,53,Truck,1,2,3471252,1031.316747,1035.407877,7.906368653,0.002378969,0.037573763,0.439474288,0.011280944,0.008014399,0.480895366,0.01581706,0.01399207,0.037676032,0.012231034,0.00470954,0.001834785,0.000334461,0.00685113,14350.41815,0.616577535
2020,36,53,Truck,2,2,12653502,984.1686844,985.6043963,1.208465451,0.034537237,0.495482357,1.541423394,0.003159125,0.017490889,2.053332429,0.067986633,0.062547507,0.062795659,0.015427903,0.007849448,0.002314142,0.003947208,0.003308175,13360.75982,0.170389272
2020,36,53,Truck,3,2,149591,1353.798985,1703.552754,20.47561685,0.000635065,0.106724335,0.726581145,0.079536871,0.002152536,0.840030483,0.006504402,0.005755694,0.107526522,0.015963527,0.013443322,0.002393192,6.02E-05,0.007166207,22932.78842,0.527926145
2020,36,61,Truck,1,2,1312,1547.543445,1566.589939,142.4367378,0.009146341,0.430640244,6.602134146,0.035060976,0.03277439,7.089176829,0.064786585,0.057164634,0.058689024,0.016768293,0.007621951,0.002286585,0.00152439,0.009908537,21533.53963,5.971036585
2020,36,61,Truck,2,2,79495696,1735.540822,1737.087185,2.108861441,0.064680709,1.301139523,3.470824987,0.00284955,0.021962837,4.810448103,0.112254266,0.103273591,0.079860776,0.025745759,0.009982603,0.003861844,0.008411826,0.005831033,23561.14771,0.245114075
2020,36,61,Truck,3,2,2143913,1562.837746,1878.060925,22.59370599,0.000579315,0.087326771,0.59452086,0.082062565,0.001959968,0.687346455,0.005912553,0.005230623,0.065967229,0.015487569,0.008246137,0.002323322,5.41E-05,0.00827459,26473.81838,0.468544666
2020,36,62,Truck,2,2,319366528,1802.321771,1803.649865,2.650324983,0.07901463,1.454674173,4.298825555,0.001932936,0.03052684,5.799898679,0.141243305,0.129943424,0.068066858,0.027773618,0.008508356,0.004166022,0.008869853,0.006072111,24467.74633,0.307980854
2020,48,21,Private vehicle,1,2,7480777728,344.6621459,346.7403322,3.882635245,0.001240216,0.016979293,0.161316532,0.005576486,0.0015289,0.17973368,0.003887009,0.003438522,0.021608795,0.008502734,0.002701099,0.001275404,8.32E-05,0.002289613,4795.855638,0.262081773
2020,48,21,Private vehicle,2,2,53976968,361.0423112,361.3238037,3.729438675,0.001019731,0.032810791,0.093815255,0.000663653,0.000494748,0.127647222,0.002370826,0.002181153,0.021608828,0.008502738,0.002701097,0.001275414,0.000483929,0.001215444,4901.394718,0.115964165
2020,48,21,Private vehicle,5,2,4888634,342.5065407,344.5307626,3.154522306,0.000973073,0.007719948,0.060921517,0.004402252,0.000764631,0.069194994,0.002351373,0.002080131,0.021608899,0.008502784,0.002701164,0.001275407,5.58E-05,0.002637342,4814.993145,0.164102692
2020,48,31,Private vehicle,1,2,8730799104,449.6655204,453.1429492,5.113429229,0.001763494,0.03530305,0.321202096,0.009718923,0.002420374,0.359380195,0.005934937,0.005250159,0.022511039,0.008437489,0.00281388,0.001265617,0.000136572,0.002987157,6256.941116,0.321425907
2020,48,31,Private vehicle,2,2,334050528,578.7683852,579.8355874,2.528952219,0.053637598,0.244800475,1.467818761,0.002535305,0.013887049,1.726430655,0.080809027,0.074344065,0.025496412,0.010645635,0.003187051,0.001596836,0.00158262,0.001975156,7857.175035,0.298269009
